Id,gameid,Team 1,League,Date,Team 2,Blue team losing,Blue team winning
,ESPORTSTMNT01_3331687,FURIA,CBLOL,24/03/2023,Fluxo,1.88,2.15
,ESPORTSTMNT01_3332704,FURIA,CBLOL,24/03/2023,Fluxo,1.88,2.15
,ESPORTSTMNT01_3332679,FURIA,CBLOL,24/03/2023,Fluxo,1.88,2.15
,ESPORTSTMNT01_3328411,Los Grandes,CBLOL,19/03/2023,FURIA,3.25,1.47
,ESPORTSTMNT01_3328379,Fluxo,CBLOL,19/03/2023,RED Canids,2,1.85
,ESPORTSTMNT01_3327386,Vivo Keyd Stars,CBLOL,19/03/2023,INTZ,1.87,1.98
,ESPORTSTMNT01_3329301,LOUD,CBLOL,19/03/2023,Liberty,4.1,1.3
,ESPORTSTMNT01_3328298,paiN Gaming,CBLOL,19/03/2023,KaBuM! Esports,3.1,1.4
,ESPORTSTMNT01_3328094,RED Canids,CBLOL,18/03/2023,FURIA,2.29,1.72
,ESPORTSTMNT01_3328079,KaBuM! Esports,CBLOL,18/03/2023,Vivo Keyd Stars,2.2,1.78
,ESPORTSTMNT01_3328068,INTZ,CBLOL,18/03/2023,Fluxo,1.39,3.37
,ESPORTSTMNT01_3329040,paiN Gaming,CBLOL,18/03/2023,Liberty,4,1.27
,ESPORTSTMNT01_3328015,LOUD,CBLOL,18/03/2023,Los Grandes,1.71,2.2
,ESPORTSTMNT03_3127554,Vivo Keyd Stars,CBLOL,12/03/2023,Fluxo,1.48,2.75
,ESPORTSTMNT03_3128544,INTZ,CBLOL,12/03/2023,LOUD,1.35,3.76
,ESPORTSTMNT03_3126579,Liberty,CBLOL,12/03/2023,RED Canids,1.53,2.8
,ESPORTSTMNT03_3126561,FURIA,CBLOL,12/03/2023,paiN Gaming,1.64,2.25
,ESPORTSTMNT03_3126529,KaBuM! Esports,CBLOL,12/03/2023,Los Grandes,1.34,3.5
,ESPORTSTMNT03_3128240,paiN Gaming,CBLOL,11/03/2023,INTZ,3.02,1.44
,ESPORTSTMNT03_3126281,Los Grandes,CBLOL,11/03/2023,Liberty,4.86,1.26
,ESPORTSTMNT03_3126254,RED Canids,CBLOL,11/03/2023,KaBuM! Esports,2.3,1.76
,ESPORTSTMNT03_3126234,Fluxo,CBLOL,11/03/2023,FURIA,2.8,1.5
,ESPORTSTMNT03_3127162,LOUD,CBLOL,11/03/2023,Vivo Keyd Stars,2.94,1.47
,ESPORTSTMNT03_3117452,Fluxo,CBLOL,05/03/2023,paiN Gaming,2.41,1.62
,ESPORTSTMNT03_3119387,Liberty,CBLOL,05/03/2023,Vivo Keyd Stars,1.65,2.38
,ESPORTSTMNT03_3117421,Los Grandes,CBLOL,05/03/2023,INTZ,4.02,1.26
,ESPORTSTMNT03_3117387,LOUD,CBLOL,05/03/2023,RED Canids,2.21,1.79
,ESPORTSTMNT03_3118326,FURIA,CBLOL,05/03/2023,KaBuM! Esports,2.7,1.71
,ESPORTSTMNT03_3116979,paiN Gaming,CBLOL,04/03/2023,Los Grandes,1.6,2.43
,ESPORTSTMNT03_3114975,KaBuM! Esports,CBLOL,04/03/2023,Fluxo,1.47,2.75
,ESPORTSTMNT03_3116931,FURIA,CBLOL,04/03/2023,LOUD,1.74,2.38
,ESPORTSTMNT03_3114925,Vivo Keyd Stars,CBLOL,04/03/2023,RED Canids,1.57,2.65
,ESPORTSTMNT03_3114863,INTZ,CBLOL,04/03/2023,Liberty,2,1.91
,ESPORTSTMNT02_3168056,KaBuM! Esports,CBLOL,26/02/2023,INTZ,2.8,1.5
,ESPORTSTMNT02_3168031,Los Grandes,CBLOL,26/02/2023,Vivo Keyd Stars,6.65,1.18
,ESPORTSTMNT02_3167106,RED Canids,CBLOL,26/02/2023,paiN Gaming,1.78,2.16
,ESPORTSTMNT02_3165985,Liberty,CBLOL,26/02/2023,FURIA,1.95,2.1
,ESPORTSTMNT02_3166049,Fluxo,CBLOL,26/02/2023,LOUD,2.23,1.75
,ESPORTSTMNT02_3163733,INTZ,CBLOL,25/02/2023,FURIA,1.64,2.34
