,Name,Win %,patch
160,SwainSwain,46.15%,13.6
161,SylasSylas,52.53%,13.6
162,SylasSylas,57.14%,13.6
163,SylasSylas,48.98%,13.6
164,SyndraSyndra,50.66%,13.6
165,Tahm KenchTahm Kench,0.00%,13.6
166,TaliyahTaliyah,50.00%,13.6
167,TalonTalon,54.29%,13.6
168,TalonTalon,58.89%,13.6
169,TaricTaric,60.26%,13.6
170,TeemoTeemo,58.06%,13.6
171,ThreshThresh,51.46%,13.6
172,TristanaTristana,54.55%,13.6
173,TristanaTristana,46.55%,13.6
174,TrundleTrundle,0.00%,13.6
175,TryndamereTryndamere,50.85%,13.6
176,TryndamereTryndamere,40.00%,13.6
177,Twisted FateTwisted Fate,47.37%,13.6
178,TwitchTwitch,59.21%,13.6
179,TwitchTwitch,63.64%,13.6
180,UdyrUdyr,62.03%,13.6
181,UrgotUrgot,36.00%,13.6
182,VarusVarus,55.24%,13.6
183,VarusVarus,55.56%,13.6
184,VayneVayne,51.39%,13.6
185,VayneVayne,52.54%,13.6
186,VeigarVeigar,47.71%,13.6
187,VeigarVeigar,44.57%,13.6
188,Vel'KozVel'Koz,56.00%,13.6
189,Vel'KozVel'Koz,50.00%,13.6
190,VexVex,51.16%,13.6
191,ViVi,52.11%,13.6
192,ViegoViego,48.01%,13.6
193,ViktorViktor,54.55%,13.6
194,VladimirVladimir,52.89%,13.6
195,VladimirVladimir,48.05%,13.6
196,VolibearVolibear,47.62%,13.6
197,WarwickWarwick,48.78%,13.6
198,WarwickWarwick,48.57%,13.6
199,WukongWukong,49.53%,13.6
200,WukongWukong,63.16%,13.6
201,XayahXayah,52.01%,13.6
202,XerathXerath,54.17%,13.6
203,XerathXerath,40.63%,13.6
204,Xin ZhaoXin Zhao,58.97%,13.6
205,YasuoYasuo,46.64%,13.6
206,YasuoYasuo,50.79%,13.6
207,YasuoYasuo,42.22%,13.6
208,YoneYone,51.07%,13.6
209,YoneYone,51.25%,13.6
210,YorickYorick,46.75%,13.6
211,YuumiYuumi,49.81%,13.6
212,ZacZac,55.88%,13.6
213,ZedZed,41.39%,13.6
214,ZedZed,47.46%,13.6
215,ZeriZeri,52.76%,13.6
216,ZiggsZiggs,47.62%,13.6
217,ZiggsZiggs,36.00%,13.6
218,ZileanZilean,50.98%,13.6
219,ZoeZoe,59.80%,13.6
220,ZyraZyra,62.71%,13.6
